Pseudo Rapidity of 0n0n:	Pseudo Rapidity of 0nXn:	Pseudo Rapidity of XnXn:
5.55703	5.12529	-5.64736
-5.95725	4.621	-6.15271
6.40446	5.09196	4.52619
-4.84665	4.32174	5.01585
-6.22889	6.11153	-4.82657
6.8665	8.27653	4.51254
-7.21066	-7.87082	-5.46234
6.02268	-7.73595	-4.91132
3.74589	-7.10811	5.79096
-5.78361	5.47094	-6.03409
3.98568	-5.02885	-7.2844
-2.64366	-5.91561	-7.07683
2.52304	4.43049	7.64879
-4.78897	4.73074	7.01386
-6.26199	4.5508	6.53845
-0.342529	-3.1437	-7.83336
-0.371185	-5.04541	6.76011
5.93907	-6.09838	-6.98816
4.59843	7.31577	5.89867
-4.8278	-6.0795	6.36695
-7.61588	-3.8095	6.73086
-5.58189	7.45658	6.85091
5.62594	7.05748	-7.0808
-6.02522	-7.31601	-7.26652
-6.29629	6.80549	7.50536
6.56034	-6.55175	7.05248
3.55028	-6.22016	-6.90935
-4.58939	6.11885	7.71199
-4.65332	-6.25149	7.6135
-3.98734	5.80286	6.54969
-6.21822	5.7902	7.15448
4.32414	5.53831	-7.69099
4.20846	6.86897	7.46431
6.04868	-6.38993	-7.30372
5.43916	5.7155	-7.56597
-5.78041	6.38063	-6.98773
4.45449	-7.09193	-7.53551
-5.30992	6.13329	7.58089
-4.61985	7.21488	-7.31853
6.72597	-6.48309	7.14998
-5.53802	6.78477	-7.50032
5.0327	7.28785	-6.74304
-6.5691	-7.23545	-7.53463
5.93976	7.43363	-7.46562
5.39756	-7.93542	-7.75702
-7.30942	-7.86207	7.63005
6.13851	-7.47583	7.0877
-6.00212	6.49654	-7.14886
6.30739	7.2106	-6.90191
6.6408	6.31625	-6.32744
6.4776	-7.33664	-6.89317
7.65456	6.16542	7.35505
8.20182	-7.11747	-8.06261
-6.89432	8.15827	-6.7366
-7.95933	-7.55606	7.06182
6.35337	-6.53644	8.46984
-7.4285	-7.08732	7.52287
-6.81367	7.66004	7.66623
-6.55798	6.69535	7.3212
7.37836	-5.99451	6.72043
7.09247	6.09125	-7.71051
-6.73413	7.5332	-6.88884
6.16176	-6.76206	-7.04704
5.30381	-6.52673	7.13619
-5.56765	-6.77827	6.49773
-5.58161	-6.86268	-5.86016
5.65699	7.35918	-6.89984
7.06318	-6.35894	-5.71972
-6.41153	-6.81186	-5.91677
-6.92159	6.46346	5.18562
6.3582	-7.43314	-6.63886
-6.82479	-6.75217	7.08232
7.31358	7.10021	6.19246
-5.58526	8.45704	7.0737
-6.92303	6.56623	7.19981
-6.80748	7.6274	0.719777
-6.86244	7.53025	-9.00105
-6.24208	6.59531	-4.67565
6.59434	-6.52309	-4.39335
7.2462	-7.55354	4.5242
-7.48341	7.43399	-5.20995
-6.87786	7.79427	-5.10888
-6.99248	-7.34145	4.89841
-7.34289	-7.32972	-4.91512
7.05434	-7.34663	5.38074
-7.57833	-7.31824	-5.22482
-7.15208	-7.98448	-5.33025
7.0293	7.05886	-3.53694
7.12398	6.89885	-5.07336
7.15359	-7.09255	-4.64223
-8.2125	-7.39978	5.2672
8.01594	7.04022	5.15327
7.44535	7.72634	-7.22106
8.19631	6.77531	-5.91764
-8.05641	7.85355	-4.80661
-7.13848	-7.36794	5.84388
8.05111	7.019	-6.10761
7.44306	6.78017	6.07378
6.84027	6.97805	-4.37694
-6.57848	-7.05877	7.29678
-7.5883	-6.8436	-6.9462
-7.02436	8.16512	6.55031
8.17742	6.91451	6.92764
7.73942	-7.14844	-7.13303
7.22194	6.91831	-7.8372
6.78967	7.23196	6.50542
7.92227	-6.84774	8.11987
-7.43018	6.76216	-8.30079
-7.05683	-7.32294	7.2724
7.51571	-8.36703	-6.96234
7.1361	-8.03846	7.3251
7.63846	-7.21035	7.03922
7.18845	7.75463	-7.25989
-6.38576	7.32914	6.72913
6.72076	7.17075	7.37194
6.98377	7.09745	7.05478
-5.40398	8.18915	-7.0007
5.57219	7.54952	-6.97737
6.55947	-7.26047	6.86318
6.02005	-6.75538	7.35239
-5.73476	7.62395	-7.372
-6.75363	-7.42157	-7.02702
7.35745	7.45765	4.94476
8.54487	7.38446	-6.22226
-7.87347	7.2551	-6.7456
8.27692	5.68371	-8.2001
-7.66958	5.85082	7.93367
7.65304	-5.67992	6.99638
8.51735	5.19953	-4.71956
-7.12254	-7.77876	-5.33086
7.31414	-7.72252	4.79471
6.66469	-7.64893	-4.62702
6.16853	-7.4692	3.94077
7.04534	-6.51315	3.14754
-7.64057	6.62548	-4.04628
8.33905	7.46248	4.30656
-5.83131	-7.90324	-4.69821
6.63244	-7.32926	3.40843
-7.02445	7.302	4.02622
-6.86934	-7.14727	5.04979
7.61745	-7.83651	4.48956
4.97912	7.5014	-4.27674
-6.17491	7.72581	-4.46437
5.45151	7.23398	4.27962
5.69157	6.82907	-4.33204
5.53856	7.91496	-4.65207
5.03617	-6.09099	-3.97518
-5.30005	6.1465	5.61889
-5.38419	-8.25148	-4.99818
6.19374	7.80183	4.67121
6.37855	6.12362	5.4447
6.06041	-5.85931	-5.00443
4.32115	6.10752	4.97811
6.06337	6.19157	4.65017
-5.1195	-6.95497	-5.31159
-7.339	7.24992	-3.84215
4.98546	-6.79728	4.23175
7.03382	7.56844	4.88598
6.47659	-6.97855	5.65525
-1.66248	8.54984	4.83554
5.65103	3.31072	5.05451
-4.23546	-6.21544	5.96403
5.20338	-6.78281	5.09827
-5.26868	-5.34453	-4.96246
5.02104	7.46282	4.57285
4.77849	-8.2989	-4.9968
4.4125	-4.16052	-5.49142
-4.176	5.23566	6.42763
-4.32298	4.14823	6.33125
-3.26641	4.75026	-7.54505
-3.40439	4.70751	6.58294
4.26407	-4.86215	-6.90028
-3.41613	-4.95054	-6.68213
-3.85161	-5.15313	-7.74116
4.67733	-5.2306	6.81033
-6.51702	4.88768	6.19705
6.10754	5.33248	-6.71941
-5.36075	4.87716	6.50762
5.1826	4.82331	-7.0121
6.88797	-5.35906	6.98955
-3.31915	-4.1054	7.42794
4.48196	-3.5442	-6.45958
-6.60745	-3.89215	6.18802
-5.38447	4.53018	-7.82737
5.52767	-4.78245	-6.87332
4.2841	-4.45553	-7.90385
-0.852673	3.11087	-6.69119
-6.43424	-3.19787	-6.60262
6.15641	4.94733	-7.61324
6.83266	5.38002	-7.89452
5.99102	-6.90342	6.58228
7.0312	-5.8895	-7.29552
4.95749	-6.62632	-6.79937
6.11251	-6.66091	-7.67233
4.15225	-7.40523	-7.38842
-6.34318	-3.61342	7.42924
7.1455	-7.58679	7.62313
-6.56618	-7.39882	-7.41839
6.56554	-5.22723	7.28498
-6.04743	-2.15228	7.18656
6.90538	6.89743	7.22147
7.75383	-5.35048	7.14447
7.37544	-5.3208	-6.70079
-7.92705	5.47394	-6.94187
-6.97777	-7.5106	-8.29986
-7.09363	7.09598	8.20281
6.53723	-6.75147	-6.97656
6.65924	-6.45884	7.2871
7.04156	6.42705	7.28848
7.38443	-6.15854	6.54028
7.42738	-6.3531	6.6834
7.32231	7.98989	-6.79987
-7.05243	-8.16007	7.17525
-7.33589	-7.13966	7.79544
-6.75963	-7.06621	5.88721
7.19853	-7.22479	6.24757
7.54079	7.58307	-5.19433
-7.61789	-6.9147	-6.43292
7.18288	7.33138	4.40024
-8.30361	-7.26143	4.31371
6.81972	7.28813	6.29623
-7.09198	-7.19466	-6.8737
7.24307	-7.16543	5.70055
-7.06851	7.18809	6.0392
6.04643	7.52685	-7.03307
-6.43625	7.17695	5.92471
6.34684	-7.48217	6.53838
-6.74191	7.34375	-4.79218
-6.82173	7.26132	-7.18305
-6.94898	-7.52239	-5.48891
-6.45138	7.44218	-6.84165
5.84805	7.46257	7.50535
5.22371	-7.00786	-6.06589
-4.78286	7.74432	6.28874
-3.38396	-7.05688	6.65096
6.52166	6.27569	-7.6602
5.3996	-7.06802	-6.30924
5.97428	-5.53232	-6.32315
-3.90604	6.5311	6.69679
-5.44441	-5.35854	-6.47897
-5.73399	-6.41769	-6.87402
-4.0295	-6.76423	7.76489
5.78514	5.49677	-5.57923
6.63847	-6.51038	-6.66259
6.00855	-7.61117	-7.76121
6.26355	7.06306	7.28358
4.00551	7.00909	7.87613
-2.83901	5.91958	6.59987
5.47875	5.48354	7.09193
3.62425	-5.66237	7.52665
4.08776	4.82935	-7.67594
-6.13411	2.65195	5.91202
-5.59183	-3.41038	5.89375
6.08472	6.45278	-5.03529
-3.13615	4.91864	-6.50638
-5.31734	5.84189	6.85766
-4.25551	6.70793	-6.33764
-3.63358	-5.69606	6.29616
2.82509	6.13481	-5.93247
-3.60557	-5.19338	-6.23863
-3.26274	4.22975	-6.25646
3.77892	4.44043	6.18966
4.40701	4.2354	-6.34294
-4.07328	4.86665	-6.02661
3.19873	-3.43069	-6.65805
-3.79649	5.60313	5.02505
4.37543	-4.29035	4.8342
4.80248	-4.76838	5.34621
-3.2298	4.40551	-5.04765
4.70326	4.74549	-5.08023
-3.12885	-3.90783	-4.77962
3.64253	-4.88849	5.60508
-4.55057	4.06217	3.72365
3.53953	-4.6661	5.43006
3.05774	4.36115	-4.9822
-4.18354	4.26782	4.24106
-3.82962	-4.48309	-5.9335
-4.04848	4.43813	-5.05741
-5.30078	-4.78481	5.0973
3.3864	-4.17056	5.35262
-2.98666	-5.00635	5.06702
-3.71841	-4.54032	5.04646
-5.17538	4.06299	-5.14913
-3.74784	4.50163	-5.31405
-5.19085	-4.25426	5.99224
-3.98681	-3.30192	-5.21688
4.22264	5.11252	5.0015
-4.69202	5.71683	-5.35509
4.33677	-3.97802	-5.33087
4.5487	-4.83364	-5.40909
4.68806	-4.86381	-4.4905
4.91889	-4.44778	-4.90905
-5.02867	-5.18995	-5.04029
4.66176	4.91851	4.56102
4.21842	-4.56744	-4.9443
-3.52064	-4.67127	4.17517
4.15321	4.53334	-4.08875
